1. 어댑터소스,2. 개체,3. 대분류,4. 중분류,5. 영향도,6. 중요도,7. 경고 이름,8. 경고 설명,9. 권고 사항,10. 증상,11. 경고 ID
APPOSUCP,watchquagga,애플리케이션,성능,상태,"위험
",watchquagga 프로세스가 중지됨,watchquagga 프로세스가 velocloud 게이트웨이에서 실행되고 있지 않습니다.,"
1. 게이트웨이에서 서비스를 다시 시작하거나 서비스 vc_process_monitor 다시 시작을 실행해 보십시오.","증상 조건
symptomSetOperator: AND
relation: SELF
증상 이름: [APPOSUCP][watchquagga] [위험] watchquagga 프로세스가 중지됨({'type': 'CONDITION_HT', 'key': 'summary|Status', 'operator': 'EQ', 'value': '0.0', 'valueType': 'NUMERIC', 'instanced': False, 'thresholdType': 'STATIC'})
",AlertDefinition-APPOSUCP-watchquaggaProcessStoppedAlert
VMWARE,VmwareDistributedVirtualSwitch,네트워크,구성,상태,경고,호스트와 물리적 스위치 간의 MTU가 일치하지 않습니다.,호스트와 물리적 스위치 간의 MTU가 일치하지 않습니다.,"
1. 물리적 스위치와 일치하도록 호스트의 MTU 구성을 조정합니다. 물리적 스위치의 MTU 구성을 변경합니다.","증상 조건
symptomSetOperator: AND
relation: SELF
증상 이름: [VMWARE][VmwareDistributedVirtualSwitch] [경고] 호스트와 물리적 스위치 간의 MTU가 일치하지 않습니다.({'type': 'CONDITION_HT', 'key': 'host|mtu_mismatch', 'operator': 'EQ', 'value': '1.0', 'valueType': 'NUMERIC', 'instanced': True, 'thresholdType': 'STATIC'})
",AlertDefinition-VMWARE-HostMtu
VMWARE,VmwareDistributedVirtualSwitch,네트워크,구성,상태,경고,Distributed Switch 구성이 동기화되지 않았습니다.,호스트에 대한 Distributed Switch 구성이 vCenter와 동기화되지 않았습니다.,"
1. Distributed Switch 구성을 호스트와 일치하도록 변경합니다. 동기화되지 않은 Distributed Switch 속성을 식별합니다. 연결을 유지 보수하기 위해 호스트에서 로컬 방식으로 이러한 속성을 변경한 경우, vCenter에서 Distributed Switch 구성을 업데이트합니다. 그렇지 않으면 호스트에 vCenter 구성을 다시 적용합니다.","증상 조건
symptomSetOperator: AND
relation: SELF
증상 이름: [VMWARE][VmwareDistributedVirtualSwitch] [경고] Distributed Switch 구성이 vCenter와 동기화되지 않음({'type': 'CONDITION_HT', 'key': 'host|config_outofsync', 'operator': 'EQ', 'value': '1.0', 'valueType': 'NUMERIC', 'instanced': True, 'thresholdType': 'STATIC'})
",AlertDefinition-VMWARE-HostConfigOutOfSync
VMWARE,VmwareDistributedVirtualSwitch,가상화/하이퍼바이저,규정준수,위험,"경고
",vSphere 분산 가상 스위치에서 모든 vCenter 버전용 VMware vSphere 보안 구성 가이드 위반 발생,이 vSphere 분산 가상 스위치는 모든 vCenter 버전용 VMware vSphere 보안 구성 가이드에 있는 하나 이상의 지침을 위반합니다.,"
1. http://www.vmware.com/kr/security/hardening-guides.html vSphere 보안 구성 가이드의 권장 사항에 따라 vSphere 보안 구성 가이드 규칙 위반을 수정하십시오.","증상 조건
symptomSetOperator: OR
relation: SELF
증상 이름: [VMWARE][VmwareDistributedVirtualSwitch] [경고] vNetwork.limit-network-healthcheck - VLAN 및 MTU 상태 확인에 대한 VDS 네트워크 상태 확인 사용(6.0/6.5 보안 구성 가이드)({'type': 'CONDITION_PROPERTY_STRING', 'stringValue': 'true', 'operator': 'EQ', 'key': 'config|health_check_config|health_check_config_vlan_mtu', 'instanced': False, 'thresholdType': 'STATIC'})
증상 이름: [VMWARE][VmwareDistributedVirtualSwitch] [경고] vNetwork.limit-network-healthcheck - 팀 구성 상태 확인에 대한 VDS 네트워크 상태 확인 사용(6.0 강화 가이드)({'type': 'CONDITION_PROPERTY_STRING', 'stringValue': 'true', 'operator': 'EQ', 'key': 'config|health_check_config|health_check_config_teaming', 'instanced': False, 'thresholdType': 'STATIC'})
",AlertDefinition-VMWARE-DVSViolatingHardeningGuideV_All
VMWARE,VmwareDistributedVirtualSwitch,네트워크,구성,위험,경고,Distributed Switch 구성이 잘못되었습니다.,문제 세부 정보에 명시된 호스트의 Distributed Switch 구성이 잘못되었습니다. 호스트에서 하나의 NIC가 Distributed Switch에 연결되어 있습니다.,"
1. 각 호스트에서 두 개 이상의 NIC가 Distributed Switch와 연결되어 있는지 확인합니다.","증상 조건
symptomSetOperator: AND
relation: SELF
증상 이름: [VMWARE][VmwareDistributedVirtualSwitch] [경고] Distributed Switch에 대한 물리적 연결이 이중화되지 않은 호스트({'type': 'CONDITION_HT', 'key': 'host|attached_pnics', 'operator': 'LT', 'value': '2.0', 'valueType': 'NUMERIC', 'instanced': True, 'thresholdType': 'STATIC'})
",AlertDefinition-VMWARE-HostAttachedPnicsInvalid
VMWARE,VmwareDistributedVirtualSwitch,네트워크,구성,상태,경고,Distributed Switch의 MTU가 호스트의 하나 이상의 VLAN에서 허용되지 않습니다.,Distributed Switch의 MTU가 호스트의 하나 이상의 VLAN에서 허용되지 않습니다.,"
1. 물리적 스위치와 Distributed Switch의 MTU 구성이 일치하는지 확인합니다.","증상 조건
symptomSetOperator: AND
relation: SELF
증상 이름: [VMWARE][VmwareDistributedVirtualSwitch] [경고] Distributed Switch의 MTU가 호스트의 하나 이상의 VLAN에서 허용되지 않습니다.({'type': 'CONDITION_HT', 'key': 'host|mtu_unsupported', 'operator': 'EQ', 'value': '1.0', 'valueType': 'NUMERIC', 'instanced': True, 'thresholdType': 'STATIC'})
",AlertDefinition-VMWARE-HostUnsupportedMtu
VMWARE,VmwareDistributedVirtualSwitch,네트워크,성능,상태,위험,하나 이상의 포트에 대해 네트워크 트래픽이 차단되었습니다.,vSphere Distributed Switch에서 하나 이상의 포트에 대해 네트워크 트래픽이 차단되었습니다.,"
1. 포트 그룹에 대한 보안 정책 및 ACL 규칙 구성을 확인합니다.","증상 조건
symptomSetOperator: AND
relation: SELF
증상 이름: [VMWARE][VmwareDistributedVirtualSwitch] [위험] 하나 이상의 포트에 대해 네트워크 트래픽이 차단되었습니다.({'type': 'CONDITION_HT', 'key': 'summary|num_blocked_ports', 'operator': 'GT', 'value': '0.0', 'valueType': 'NUMERIC', 'instanced': True, 'thresholdType': 'STATIC'})
",AlertDefinition-VMWARE-DVSForwardingState
VMWARE,VmwareDistributedVirtualSwitch,네트워크,구성,상태,경고,하나 이상의 VLAN이 물리적 스위치에서 지원되지 않습니다.,호스트의 하나 이상의 VLAN이 물리적 스위치에서 지원되지 않습니다.,"
1. 물리적 스위치와 분산 포트 그룹의 VLAN 그룹이 일치하는지 확인합니다.","증상 조건
symptomSetOperator: AND
relation: SELF
증상 이름: [VMWARE][VmwareDistributedVirtualSwitch] [경고] 하나 이상의 VLAN이 물리적 스위치에서 지원되지 않습니다.({'type': 'CONDITION_HT', 'key': 'host|vlans_unsupported', 'operator': 'GT', 'value': '0.0', 'valueType': 'NUMERIC', 'instanced': True, 'thresholdType': 'STATIC'})
",AlertDefinition-VMWARE-HostUnsupportedVlan
VMWARE,VmwareDistributedVirtualSwitch,네트워크,구성,상태,경고,팀 구성이 물리적 스위치와 일치하지 않습니다.,호스트의 팀 구성이 물리적 스위치와 일치하지 않습니다.,"
1. 물리적 스위치와 Distributed Switch의 팀 구성이 일치하는지 확인합니다.","증상 조건
symptomSetOperator: AND
relation: SELF
증상 이름: [VMWARE][VmwareDistributedVirtualSwitch] [경고] 팀 구성이 물리적 스위치와 일치하지 않습니다.({'type': 'CONDITION_HT', 'key': 'host|teaming_mismatch', 'operator': 'EQ', 'value': '1.0', 'valueType': 'NUMERIC', 'instanced': True, 'thresholdType': 'STATIC'})
",AlertDefinition-VMWARE-HostTeamingStatus
VMWARE,VMwareAdapter Instance,가상화/하이퍼바이저,구성,상태,"위험
",vCenter에 중복된 개체 이름 있음,vCenter에 중복된 개체 이름이 있습니다. 이 vCenter에 대해 이름 기반 ID 기능이 사용되지 않도록 설정됩니다.,"
1. 이름 기반 ID 기능을 사용하도록 설정하기 전에 가상 시스템 이름이 고유한지 확인하십시오.","증상 조건
aggregation: ANY
symptomSetOperator: OR
relation: SELF
증상 이름: [VMWARE][VMwareAdapter Instance] [위험] vCenter에 중복된 개체 이름 있음({'type': 'CONDITION_MESSAGE_EVENT', 'eventType': 'SYSTEM_DEGRADATION', 'message': 'Duplicate Resource Name', 'operator': 'CONTAINS'})
",AlertDefinition-VMWARE-DuplicateResourceNameAlert
VMWARE,VMwareAdapter Instance,애플리케이션,가용성,상태,"메시지 이벤트
",VASA 제공자에 대한 CA 인증서 및 CRL 새로 고침 실패,하나 이상의 VASA 제공자에 대한 CA 인증서 및 CRL 새로 고침 실패,"
1. VASA 제공자의 CA 인증서와 CRL에 대한 지원을 받으려면 하드웨어 벤더에 문의하십시오.","증상 조건
relation: SELF
증상 이름: [VMWARE][VMwareAdapter Instance] [증상 기준] VASA 제공자에 대한 CA 인증서 및 CRL 새로 고침 실패({'type': 'CONDITION_MESSAGE_EVENT', 'eventType': 'NOTIFICATION', 'message': 'Refreshing CA certificates and CRLs for VASA provider failed.', 'operator': 'REGEX'})
",AlertDefinition-VMWARE-VasaProviderRefreshCACertsAndCRLsFailureAlert
VMWARE,VMwareAdapter Instance,가상화/하이퍼바이저,가용성,상태,"위험
",vCenter 구성 요소에 문제 발생,vCenter 상태 서비스가 vCenter 구성 요소 하나 이상에서 문제를 감지했습니다. 구체적인 정보는 증상 세부 정보를 확인하십시오.,"
1. 문제를 해결하기 위해 수행하는 작업은 장애를 일으킨 특정 문제에 따라 다릅니다. 문제 세부 정보를 검토하고 vSphere 설명서를 확인하십시오.","증상 조건
relation: SELF
증상 이름: [VMWARE][VMwareAdapter Instance] [위험] vCenter Server 상태 변경됨({'type': 'CONDITION_FAULT', 'faultKey': 'fault|vc|health', 'faultEvents': ['com.vmware.vc.VCHealthStateChangedEvent']})
",AlertDefinition-VMWARE-VCHealthChangedAlert
VMWARE,VMwareAdapter Instance,가상화/하이퍼바이저,가용성,상태,"위험
",vCenter 스토리지 데이터 수집 실패,vCenter 스토리지 관리 서비스의 데이터 수집에 실패했습니다.,"
1. vCenter Management Webservice가 시작되었으며 스토리지 관리 서비스가 작동 중인지 확인합니다.","증상 조건
aggregation: ANY
symptomSetOperator: OR
relation: SELF
증상 이름: [VMWARE][VMwareAdapter Instance] [위험] vCenter 스토리지 데이터 수집 실패({'type': 'CONDITION_MESSAGE_EVENT', 'eventType': 'SYSTEM_DEGRADATION', 'message': 'Data collection from vCenter Storage Management Service failed', 'operator': 'CONTAINS'})
",AlertDefinition-VMWARE-SMSCollectionFailedAlert
VMWARE,VMwareAdapter Instance,애플리케이션,구성,효율성,"경고
",Ping할 IP 수가 제한을 초과합니다.,Ping할 IP 수가 제한을 초과합니다., ,"증상 조건
relation: SELF
증상 이름: [VMWARE][VMwareAdapter Instance] [경고] Ping할 IP 수가 제한을 초과합니다.({'type': 'CONDITION_MESSAGE_EVENT', 'eventType': 'NOTIFICATION', 'message': 'Number of IPs to be pinged exceeds the limit:', 'operator': 'CONTAINS'})
",AlertDefinition-VMWARE-NumberOfIPsToPingExceedsLimitAlert
VMWARE,VMwareAdapter Instance,애플리케이션,가용성,상태,"메시지 이벤트
",VASA 제공자 연결 끊김,하나 이상의 VASA 제공자 연결 끊김,"
1. VASA 제공자가 vCenter에서 액세스할 수 없고 잘못된 인증서 오류를 받았다면 다음 기술 자료 문서 https://kb.vmware.com/s/article/2079087 kb2079087를 확인하십시오. 추가 지원은 하드웨어 벤더에 문의하십시오.","증상 조건
relation: SELF
증상 이름: [VMWARE][VMwareAdapter Instance] [증상 기준] VASA 제공자 연결 끊김({'type': 'CONDITION_MESSAGE_EVENT', 'eventType': 'NOTIFICATION', 'message': 'VASA Provider .* disconnected.', 'operator': 'REGEX'})
",AlertDefinition-VMWARE-VASAProviderDisconnectedAlert
